Date,COP Raw Price,SM Raw Price,COP Log Price,SM Log Price,Residual,Spread,Beta
2025-01-02,98.4366,39.607,4.58941,3.67901,0.164419,58.8296,2.95263
2025-01-03,99.4301,40.0213,4.59945,3.68941,0.145175,59.4088,2.95263
2025-01-06,98.3481,40.2974,4.58851,3.69629,0.184356,58.0507,2.95263
2025-01-07,100.001,42.0923,4.60518,3.73987,0.178737,57.9082,2.95263
2025-01-08,99.9514,42.0628,4.60468,3.73916,0.179486,57.8886,2.95263
2025-01-10,100.246,42.7531,4.60763,3.75544,0.187062,57.4933,2.95263
2025-01-13,102.519,43.118,4.63004,3.76394,0.129387,59.4005,2.95263
2025-01-14,103.158,43.3153,4.63626,3.76851,0.115596,59.8426,2.95263
2025-01-15,103.748,44.0747,4.64196,3.78588,0.116132,59.6733,2.95263
2025-01-16,103.876,43.5125,4.6432,3.77305,0.0996589,60.3633,2.95263
2025-01-17,104.112,42.615,4.64547,3.75221,0.0721155,61.4969,2.95263
2025-01-21,102.568,41.3034,4.63052,3.72094,0.0849743,61.2643,2.95263
2025-01-22,101.368,41.2047,4.61875,3.71855,0.117331,60.163,2.95263
2025-01-23,102.282,40.6524,4.62774,3.70506,0.0773121,61.63,2.95263
2025-01-24,100.158,39.7308,4.60675,3.68213,0.116355,60.4271,2.95263
2025-01-27,101.004,39.3344,4.61516,3.6721,0.0814953,61.6694,2.95263
2025-01-28,99.7153,39.3244,4.60232,3.67185,0.119152,60.3908,2.95263
2025-01-29,99.8923,39.6911,4.60409,3.68113,0.123196,60.2012,2.95263
2025-01-30,99.794,39.2551,4.60311,3.67008,0.115057,60.5389,2.95263
2025-01-31,97.2072,37.6199,4.57684,3.62753,0.150055,59.5873,2.95263
2025-02-03,96.8629,37.0451,4.5733,3.61213,0.145133,59.8179,2.95263
2025-02-04,98.9284,37.9271,4.5944,3.63567,0.106363,61.0014,2.95263
2025-02-05,98.5645,37.5108,4.59071,3.62463,0.106209,61.0537,2.95263
2025-02-06,98.2989,36.9063,4.58801,3.60838,0.097928,61.3926,2.95263
2025-02-07,96.7449,37.0451,4.57208,3.61213,0.148733,59.6998,2.95263
2025-02-10,97.8465,39.0569,4.5834,3.66502,0.168186,58.7896,2.95263
2025-02-11,100.04,40.2461,4.60557,3.69501,0.132724,59.7938,2.95263
2025-02-12,96.7842,38.5613,4.57248,3.65225,0.187648,58.2229,2.95263
2025-02-13,95.3089,38.6208,4.55712,3.65379,0.234545,56.6881,2.95263
2025-02-14,95.4477,38.1748,4.55858,3.64218,0.218633,57.2728,2.95263
2025-02-18,96.6276,38.2739,4.57086,3.64477,0.184948,58.3537,2.95263
2025-02-19,98.7297,38.4821,4.59239,3.65019,0.126826,60.2477,2.95263
2025-02-20,101.139,36.7775,4.6165,3.60489,0.0103257,64.3618,2.95263
2025-02-21,97.1135,34.0422,4.57588,3.5276,0.0529702,63.0713,2.95263
2025-02-24,97.9861,33.517,4.58483,3.51205,0.0110094,64.4691,2.95263
2025-02-25,96.2608,32.7836,4.56706,3.48993,0.0413385,63.4772,2.95263
2025-02-26,95.3188,32.0799,4.55723,3.46823,0.0486776,63.2388,2.95263
2025-02-27,96.5483,32.2286,4.57004,3.47285,0.0154576,64.3197,2.95263
2025-02-28,98.3133,32.4169,4.58816,3.47868,-0.0322057,65.8964,2.95263
2025-03-03,91.8483,29.7411,4.52014,3.39253,0.0824843,62.1072,2.95263
2025-03-04,89.8751,28.5915,4.49842,3.35311,0.107187,61.2836,2.95263
2025-03-05,88.13,27.2734,4.47881,3.30591,0.117887,60.8565,2.95263
2025-03-06,87.8523,26.9067,4.47566,3.29238,0.113667,60.9456,2.95263
2025-03-07,89.8652,27.3428,4.49831,3.30845,0.0628564,62.5224,2.95263
2025-03-10,92.116,27.1248,4.52305,3.30045,-0.0181927,64.9913,2.95263
2025-03-11,94.6049,28.8095,4.54971,3.36071,-0.03665,65.7953,2.95263
2025-03-12,96.9251,29.5132,4.57394,3.38484,-0.084061,67.4119,2.95263
2025-03-13,95.3783,28.5122,4.55785,3.35033,-0.0710638,66.8661,2.95263
2025-03-14,98.115,29.7213,4.58614,3.39186,-0.11306,68.3937,2.95263
2025-03-17,98.5215,29.9889,4.59028,3.40083,-0.116307,68.5327,2.95263
2025-03-18,99.6816,30.0285,4.60198,3.40215,-0.149551,69.6531,2.95263
2025-03-19,100.475,30.9204,4.60991,3.43142,-0.143684,69.5545,2.95263
2025-03-20,101.447,30.6529,4.61953,3.42273,-0.180794,70.7938,2.95263
2025-03-21,101.06,30.3952,4.61571,3.41428,-0.177959,70.6647,2.95263
2025-03-24,101.328,31.525,4.61836,3.45078,-0.149275,69.8027,2.95263
2025-03-25,101.685,30.2564,4.62188,3.40971,-0.200729,71.4282,2.95263
2025-03-26,102.329,30.5141,4.62819,3.41819,-0.210905,71.815,2.95263
2025-03-27,101.952,29.9789,4.62451,3.4005,-0.217706,71.9734,2.95263
2025-03-28,101.506,29.1366,4.62012,3.37199,-0.233257,72.3696,2.95263
2025-03-31,104.134,29.6816,4.64568,3.39053,-0.290183,74.4521,2.95263
2025-04-01,104.501,29.5032,4.64919,3.3845,-0.306596,74.9974,2.95263
2025-04-02,105.205,30.2465,4.65591,3.40938,-0.301539,74.9581,2.95263
2025-04-03,94.4462,25.103,4.54803,3.22299,-0.169412,69.3432,2.95263
2025-04-04,85.5618,22.0605,4.44924,3.09379,-0.00691552,63.5013,2.95263
2025-04-07,84.947,21.6146,4.44203,3.07337,-0.00604686,63.3325,2.95263
2025-04-08,81.9624,20.2073,4.40626,3.00604,0.0322354,61.7552,2.95263
2025-04-09,90.7378,24.3994,4.50797,3.19456,-0.079569,66.3384,2.95263
2025-04-10,82.5871,21.0497,4.41385,3.04689,0.0506587,61.5375,2.95263
2025-04-11,85.661,21.4758,4.4504,3.06693,-0.037198,64.1851,2.95263
2025-04-14,85.7205,21.7632,4.45109,3.08022,-0.0259539,63.9572,2.95263
2025-04-15,84.9966,21.5254,4.44261,3.06923,-0.011905,63.4713,2.95263
2025-04-16,85.6312,22.12,4.45005,3.09648,-0.00661812,63.5112,2.95263
2025-04-17,88.2291,23.03,4.47994,3.1368,-0.0545479,65.1991,2.95263
2025-04-21,86.8112,22.02,4.46374,3.09195,-0.0515571,64.7912,2.95263
2025-04-22,89.0025,22.88,4.48866,3.13026,-0.0868524,66.1225,2.95263
2025-04-23,89.1711,22.99,4.49056,3.13506,-0.087643,66.1811,2.95263
2025-04-24,91.0253,23.17,4.51114,3.14286,-0.140611,67.8553,2.95263
2025-04-25,90.946,23.48,4.51027,3.15615,-0.124746,67.466,2.95263
2025-04-28,92.1458,23.6,4.52337,3.16125,-0.158346,68.5458,2.95263
2025-04-29,91.1046,23.26,4.51201,3.14674,-0.139306,67.8446,2.95263
2025-04-30,88.3679,22.79,4.48151,3.12632,-0.0696657,65.5779,2.95263
2025-05-01,89.885,23.67,4.49853,3.16421,-0.0820393,66.215,2.95263
2025-05-02,90.6386,22.82,4.50688,3.12764,-0.143262,67.8186,2.95263
2025-05-05,86.8707,21,4.46442,3.04452,-0.101009,65.8707,2.95263
2025-05-06,86.8905,21.52,4.46465,3.06898,-0.0772222,65.3705,2.95263
2025-05-07,86.9698,21.2,4.46556,3.054,-0.0948983,65.7698,2.95263
2025-05-08,88.0705,22.83,4.47814,3.12808,-0.057956,65.2405,2.95263
2025-05-09,87.8424,23.16,4.47554,3.14243,-0.0359489,64.6824,2.95263
2025-05-12,91.4913,24.79,4.51624,3.21044,-0.0881074,66.7013,2.95263
2025-05-13,93.3753,25.63,4.53663,3.24376,-0.114966,67.7453,2.95263
2025-05-14,91.7888,25.46,4.51949,3.23711,-0.0710237,66.3288,2.95263
2025-05-15,92.1755,24.56,4.52369,3.20112,-0.119427,67.6155,2.95263
2025-05-16,91.65,24.45,4.51798,3.19663,-0.107033,67.2,2.95263
2025-05-19,90.41,23.92,4.50435,3.17471,-0.0887276,66.49,2.95263
2025-05-20,89.69,23.73,4.49636,3.16674,-0.0730944,65.96,2.95263
2025-05-21,87.15,23.1,4.46763,3.13983,-0.0151772,64.05,2.95263
2025-05-22,86.13,23.18,4.45586,3.14329,0.0230414,62.95,2.95263
2025-05-23,85.19,23.17,4.44488,3.14286,0.055011,62.02,2.95263
2025-05-27,85.55,23.83,4.4491,3.17095,0.0706469,61.72,2.95263
2025-05-28,84.58,23.66,4.4377,3.16379,0.0971568,60.92,2.95263
2025-05-29,85.6,23.8,4.44969,3.16969,0.0676621,61.8,2.95263
2025-05-30,85.35,23.42,4.44676,3.15359,0.0602029,61.93,2.95263
2025-06-02,86.72,23.92,4.46268,3.17471,0.0343095,62.8,2.95263
2025-06-03,87.91,25.24,4.47631,3.22843,0.047783,62.67,2.95263
2025-06-04,85.95,24.16,4.45377,3.1847,0.070627,61.79,2.95263
2025-06-05,85.35,24.01,4.44676,3.17847,0.085083,61.34,2.95263
2025-06-06,87.22,24.92,4.46843,3.21567,0.0582902,62.3,2.95263
2025-06-09,88.04,25.59,4.47779,3.2422,0.0571917,62.45,2.95263
2025-06-10,91.18,25.99,4.51284,3.25771,-0.0307709,65.19,2.95263
2025-06-11,93.35,26.8,4.53636,3.2884,-0.0695275,66.55,2.95263
2025-06-12,94.69,27.13,4.55061,3.30064,-0.0993718,67.56,2.95263
2025-06-13,96.96,28.26,4.5743,3.34145,-0.128513,68.7,2.95263
