Date,CVX Raw Price,SHEL Raw Price,CVX Log Price,SHEL Log Price,Residual,Spread,Beta
2025-01-02,143.354,61.7661,4.96532,4.12335,-0.0586785,81.5884,0.355349
2025-01-03,144.468,63.1561,4.97306,4.14561,-0.0391746,81.3123,0.355349
2025-01-06,143.892,63.3812,4.96906,4.14917,-0.0341952,80.5107,0.355349
2025-01-07,146.169,64.5363,4.98476,4.16723,-0.0217138,81.6323,0.355349
2025-01-08,146.862,63.3518,4.9895,4.1487,-0.0419197,83.5105,0.355349
2025-01-10,149.637,63.5672,5.00822,4.1521,-0.0451781,86.0702,0.355349
2025-01-13,151.797,63.5868,5.02254,4.15241,-0.0499616,88.2101,0.355349
2025-01-14,153.311,64.5167,5.03247,4.16692,-0.0389709,88.7947,0.355349
2025-01-15,154.709,64.9572,5.04154,4.17373,-0.0353908,89.7515,0.355349
2025-01-16,155.735,65.0453,5.04815,4.17508,-0.0363842,90.6894,0.355349
2025-01-17,157.777,65.3096,5.06118,4.17914,-0.0369588,92.4673,0.355349
2025-01-21,154.621,65.3585,5.04098,4.17989,-0.0290294,89.2623,0.355349
2025-01-22,152.833,64.5558,5.02934,4.16753,-0.0372529,88.2768,0.355349
2025-01-23,152.442,65.2508,5.02678,4.17824,-0.0256347,87.1909,0.355349
2025-01-24,152.09,64.0077,5.02447,4.159,-0.0440495,88.0823,0.355349
2025-01-27,153.634,63.763,5.03457,4.15517,-0.0514691,89.8709,0.355349
2025-01-28,152.637,63.2148,5.02806,4.14654,-0.0577902,89.4224,0.355349
2025-01-29,152.129,63.4106,5.02473,4.14963,-0.0535134,88.7185,0.355349
2025-01-30,152.745,65.241,5.02877,4.17809,-0.0264902,87.5036,0.355349
2025-01-31,145.778,64.458,4.98208,4.16601,-0.0219765,81.3198,0.355349
2025-02-03,145.924,63.7923,4.98309,4.15563,-0.0327139,82.132,0.355349
2025-02-04,149.716,65.2215,5.00874,4.17779,-0.0196725,84.4941,0.355349
2025-02-05,149.491,65.1236,5.00724,4.17629,-0.0206408,84.3673,0.355349
2025-02-06,148.426,64.7614,5.00009,4.17071,-0.0236768,83.6644,0.355349
2025-02-07,149.129,64.4971,5.00481,4.16662,-0.0294466,84.6322,0.355349
2025-02-10,152.207,64.732,5.02524,4.17026,-0.0330703,87.4752,0.355349
2025-02-11,153.839,65.9556,5.03591,4.18898,-0.0181339,87.8835,0.355349
2025-02-12,151.357,65.3487,5.01964,4.17974,-0.0215984,86.0084,0.355349
2025-02-13,152.315,65.9458,5.02595,4.18883,-0.0147438,86.3689,0.355349
2025-02-14,153.471,66.4168,5.03351,4.19595,-0.0103144,87.0539,0.355349
2025-02-18,154.281,67.0994,5.03877,4.20618,-0.00195913,87.1814,0.355349
2025-02-19,155.338,66.8818,5.0456,4.20293,-0.00763485,88.4562,0.355349
2025-02-20,156.879,67.6535,5.05548,4.2144,0.000329245,89.2257,0.355349
2025-02-21,155.032,65.9913,5.04363,4.18952,-0.0203367,89.0403,0.355349
2025-02-24,155.99,66.1793,5.04979,4.19237,-0.0196818,89.8107,0.355349
2025-02-25,154.538,66.1892,5.04044,4.19252,-0.0162084,88.3485,0.355349
2025-02-26,153.273,66.6839,5.03222,4.19996,-0.00584255,86.5892,0.355349
2025-02-27,154.785,66.5553,5.04203,4.19803,-0.0112606,88.2294,0.355349
2025-02-28,156.711,66.7433,5.0544,4.20085,-0.0128357,89.9679,0.355349
2025-03-03,151.248,65.7539,5.01892,4.18592,-0.0151605,85.4939,0.355349
2025-03-04,150.171,65.4966,5.01177,4.182,-0.0165412,84.6742,0.355349
2025-03-05,148.995,65.3977,5.00391,4.18049,-0.01526,83.5975,0.355349
2025-03-06,151.109,65.3087,5.018,4.17912,-0.0216294,85.8008,0.355349
2025-03-07,154.459,66.0804,5.03993,4.19087,-0.0176723,88.3783,0.355349
2025-03-10,155.674,66.0804,5.04776,4.19087,-0.020457,89.5935,0.355349
2025-03-11,152.226,66.1002,5.02537,4.19117,-0.0121987,86.1257,0.355349
2025-03-12,150.833,66.6641,5.01617,4.19967,-0.000436307,84.1687,0.355349
2025-03-13,151.761,67.0203,5.02231,4.205,0.00271105,84.7412,0.355349
2025-03-14,155.13,68.0393,5.04427,4.22009,0.00999968,87.0911,0.355349
2025-03-17,156.81,69.3552,5.05503,4.23924,0.0253284,87.4548,0.355349
2025-03-18,158.875,70.216,5.06812,4.25158,0.0330142,88.6589,0.355349
2025-03-19,162.076,70.7601,5.08806,4.2593,0.0336456,91.3158,0.355349
2025-03-20,162.787,71.1855,5.09244,4.26529,0.0380837,91.6017,0.355349
2025-03-21,162.767,70.2555,5.09232,4.25214,0.0249762,92.5119,0.355349
2025-03-24,163.034,70.5227,5.09396,4.25593,0.0281893,92.5115,0.355349
2025-03-25,163.943,71.2647,5.09952,4.2664,0.0366807,92.6784,0.355349
2025-03-26,165.949,72.2541,5.11168,4.28019,0.0461475,93.6946,0.355349
2025-03-27,164.645,72.5113,5.10379,4.28374,0.052505,92.1332,0.355349
2025-03-28,164.091,71.9573,5.10042,4.27607,0.0460309,92.134,0.355349
2025-03-31,165.277,72.5014,5.10762,4.28361,0.0510064,92.7755,0.355349
2025-04-01,166.482,72.2739,5.11489,4.28046,0.0452808,94.2083,0.355349
2025-04-02,164.467,71.9474,5.10271,4.27593,0.0450813,92.5194,0.355349
2025-04-03,154.241,69.0287,5.03852,4.23452,0.0264788,85.2126,0.355349
2025-04-04,141.556,63.4486,4.95269,4.15023,-0.0273155,78.1072,0.355349
2025-04-07,138.463,61.6579,4.93061,4.1216,-0.0480965,76.8056,0.355349
2025-04-08,135.282,59.1152,4.90736,4.07949,-0.0819502,76.167,0.355349
2025-04-09,144.273,63.2112,4.97171,4.14648,-0.0378205,81.0615,0.355349
2025-04-10,133.356,59.1449,4.89302,4.07999,-0.0763514,74.2108,0.355349
2025-04-11,133.998,61.4303,4.89782,4.1179,-0.0401447,72.5676,0.355349
2025-04-14,133.692,61.8755,4.89554,4.12512,-0.0321102,71.8161,0.355349
2025-04-15,132.921,62.113,4.88975,4.12895,-0.0262258,70.808,0.355349
2025-04-16,133.731,63.3497,4.89583,4.14867,-0.00866989,70.3814,0.355349
2025-04-17,136.211,64.349,4.9142,4.16432,0.000451943,71.8619,0.355349
2025-04-21,132.121,63.9631,4.88372,4.15831,0.00527164,68.1576,0.355349
2025-04-22,135.648,64.4776,4.91006,4.16632,0.00392086,71.1702,0.355349
2025-04-23,135.035,63.8246,4.90554,4.15614,-0.00464973,71.2106,0.355349
2025-04-24,137.396,64.3589,4.92287,4.16447,-0.00247382,73.0376,0.355349
2025-04-25,137.061,65.1603,4.92042,4.17685,0.0107711,71.9003,0.355349
2025-04-28,138.414,65.3186,4.93025,4.17928,0.00970544,73.0955,0.355349
2025-04-29,137.624,64.814,4.92452,4.17152,0.00398562,72.8097,0.355349
2025-04-30,134.423,63.7949,4.90099,4.15567,-0.00349933,70.6278,0.355349
2025-05-01,134.62,64.1115,4.90246,4.16062,0.000929184,70.5088,0.355349
2025-05-02,136.833,65.932,4.91876,4.18862,0.0231344,70.9014,0.355349
2025-05-05,133.869,64.4281,4.89686,4.16555,0.00784286,69.4413,0.355349
2025-05-06,133.968,64.4083,4.8976,4.16524,0.00727348,69.5599,0.355349
2025-05-07,134.156,64.3589,4.899,4.16447,0.00600761,69.7971,0.355349
2025-05-08,135.391,64.3885,4.90817,4.16494,0.00321249,71.0023,0.355349
2025-05-09,136.823,65.4472,4.91869,4.18124,0.0157799,71.3763,0.355349
2025-05-12,139.916,65.6747,4.94104,4.18471,0.011309,74.241,0.355349
2025-05-13,140.637,66.8917,4.94618,4.20307,0.0278422,73.7453,0.355349
2025-05-14,139.965,66.3772,4.94139,4.19535,0.0218227,73.588,0.355349
2025-05-15,140.548,66.674,4.94555,4.19982,0.0248077,73.8741,0.355349
2025-05-16,140.39,66.62,4.94442,4.199,0.0243973,73.77,0.355349
2025-05-19,138.49,66.67,4.9308,4.19976,0.0299895,71.82,0.355349
2025-05-20,137.27,66.62,4.92195,4.199,0.0323836,70.65,0.355349
2025-05-21,135.56,66.36,4.90941,4.19509,0.0329277,69.2,0.355349
2025-05-22,135.29,65.95,4.90742,4.1889,0.0274385,69.34,0.355349
2025-05-23,136.54,66.3,4.91662,4.19419,0.0294635,70.24,0.355349
2025-05-27,137.83,66.69,4.92602,4.20006,0.0319871,71.14,0.355349
2025-05-28,136.02,66.04,4.9128,4.19026,0.0268901,69.98,0.355349
2025-05-29,137.91,66.44,4.9266,4.1963,0.0280252,71.47,0.355349
2025-05-30,136.7,66.22,4.91779,4.19298,0.0278399,70.48,0.355349
2025-06-02,137.84,67.45,4.92609,4.21139,0.0432928,70.39,0.355349
2025-06-03,139.55,67.83,4.93842,4.217,0.0445296,71.72,0.355349
2025-06-04,137.37,67.27,4.92268,4.20871,0.0418343,70.1,0.355349
2025-06-05,136.9,67.53,4.91925,4.21257,0.0469098,69.37,0.355349
2025-06-06,140.21,68.02,4.94314,4.2198,0.0456501,72.19,0.355349
2025-06-09,140.76,68.26,4.94706,4.22332,0.0477812,72.5,0.355349
2025-06-10,143.35,70.05,4.96529,4.24921,0.0671874,73.3,0.355349
2025-06-11,144.78,71.02,4.97522,4.26296,0.0774124,73.76,0.355349
2025-06-12,144.97,71.44,4.97653,4.26886,0.0828428,73.53,0.355349
2025-06-13,145.91,72.54,4.98299,4.28414,0.0958263,73.37,0.355349
