Date,MPC Raw Price,ET Raw Price,MPC Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,139.888,19.0293,4.94084,2.94598,0.0692521,120.859,0.467831
2025-01-03,141.124,18.9617,4.94964,2.94242,0.0615794,122.162,0.467831
2025-01-06,138.939,18.9424,4.93403,2.9414,0.0678605,119.996,0.467831
2025-01-07,140.056,18.8169,4.94204,2.93475,0.0574657,121.239,0.467831
2025-01-08,140.718,19.0486,4.94676,2.94699,0.0674971,121.67,0.467831
2025-01-10,140.659,18.7493,4.94634,2.93116,0.0518575,121.91,0.467831
2025-01-13,145.088,18.7976,4.97734,2.93373,0.0399243,126.291,0.467831
2025-01-14,147.728,19.2417,4.99537,2.95708,0.0548403,128.486,0.467831
2025-01-15,150.229,19.3479,5.01216,2.96258,0.0524894,130.881,0.467831
2025-01-16,149.982,19.5506,5.01052,2.97301,0.0636842,130.432,0.467831
2025-01-17,150.971,19.5893,5.01709,2.97498,0.0625838,131.382,0.467831
2025-01-21,149.112,20.1878,5.0047,3.00508,0.0984787,128.924,0.467831
2025-01-22,145.939,20.1975,4.98319,3.00556,0.109022,125.741,0.467831
2025-01-23,152.563,20.3327,5.02758,3.01223,0.0949243,132.23,0.467831
2025-01-24,149.893,20.323,5.00992,3.01175,0.102708,129.57,0.467831
2025-01-27,150.872,19.1258,5.01643,2.95104,0.0389489,131.746,0.467831
2025-01-28,148.934,19.6472,5.0035,2.97793,0.0718909,129.287,0.467831
2025-01-29,149.676,19.821,5.00847,2.98674,0.0783737,129.855,0.467831
2025-01-30,148.262,20.352,4.99898,3.01318,0.109251,127.91,0.467831
2025-01-31,144.06,19.7727,4.97023,2.9843,0.0938255,124.287,0.467831
2025-02-03,145.335,20.043,4.97904,2.99788,0.103281,125.292,0.467831
2025-02-04,155.133,20.0527,5.04428,2.99836,0.0732415,135.081,0.467831
2025-02-05,155.529,20.072,5.04683,2.99932,0.073013,135.457,0.467831
2025-02-06,150.21,19.6665,5.01203,2.97892,0.068884,130.543,0.467831
2025-02-07,148.42,19.5537,5.00005,2.97316,0.0687372,128.866,0.467831
2025-02-10,152.039,19.7106,5.02413,2.98116,0.0654641,132.328,0.467831
2025-02-11,153.541,19.4359,5.03397,2.96712,0.0468273,134.106,0.467831
2025-02-12,147.52,19.2789,4.99397,2.95901,0.0574329,128.241,0.467831
2025-02-13,152.345,19.4457,5.02615,2.96763,0.0509913,132.899,0.467831
2025-02-14,154.293,19.6125,5.03885,2.97617,0.0535887,134.68,0.467831
2025-02-18,157.229,19.9167,5.0577,2.99156,0.0601578,137.313,0.467831
2025-02-19,155.758,19.7401,5.0483,2.98265,0.0556508,136.017,0.467831
2025-02-20,157.378,19.5635,5.05865,2.97366,0.041821,137.815,0.467831
2025-02-21,152.874,19.0239,5.02961,2.94569,0.0274363,133.85,0.467831
2025-02-24,151.84,18.6118,5.02283,2.9238,0.00871313,133.228,0.467831
2025-02-25,149.742,18.5627,5.00891,2.92116,0.0125835,131.179,0.467831
2025-02-26,145.476,18.7982,4.98001,2.93376,0.0387098,126.678,0.467831
2025-02-27,147.146,18.5824,4.99143,2.92221,0.0218195,128.564,0.467831
2025-02-28,149.334,18.9257,5.00618,2.94052,0.0332263,130.408,0.467831
2025-03-03,144.999,18.6707,4.97672,2.92695,0.0334392,126.328,0.467831
2025-03-04,141.817,18.1212,4.95453,2.89708,0.0139511,123.695,0.467831
2025-03-05,134.359,17.8563,4.90051,2.88236,0.0244975,116.502,0.467831
2025-03-06,136.785,17.3658,4.91841,2.8545,-0.0117322,119.419,0.467831
2025-03-07,136.775,17.1303,4.91834,2.84085,-0.0253504,119.645,0.467831
2025-03-10,135.492,16.9341,4.90892,2.82933,-0.032463,118.558,0.467831
2025-03-11,133.961,17.4933,4.89755,2.86182,0.00534526,116.468,0.467831
2025-03-12,136.348,18.0526,4.91521,2.89329,0.0285526,118.295,0.467831
2025-03-13,136.248,17.8269,4.91448,2.88071,0.0163151,118.421,0.467831
2025-03-14,140.355,18.3763,4.94417,2.91106,0.0327768,121.978,0.467831
2025-03-17,145.337,18.5431,4.97905,2.9201,0.0254948,126.793,0.467831
2025-03-18,145.177,18.3273,4.97796,2.90839,0.0142987,126.85,0.467831
2025-03-19,148.727,18.5824,5.00212,2.92221,0.0168196,130.145,0.467831
2025-03-20,151.094,18.4941,5.0179,2.91745,0.00467077,132.6,0.467831
2025-03-21,149.115,18.2488,5.00472,2.9041,-0.00251312,130.866,0.467831
2025-03-24,147.842,18.5235,4.99615,2.91904,0.0164387,129.319,0.467831
2025-03-25,148.25,18.5235,4.9989,2.91904,0.0151504,129.727,0.467831
2025-03-26,148.966,18.5725,5.00372,2.92168,0.0155414,130.393,0.467831
2025-03-27,146.52,18.5235,4.98716,2.91904,0.0206425,127.996,0.467831
2025-03-28,143.288,18.3567,4.96486,2.90999,0.0220317,124.931,0.467831
2025-03-31,144.869,18.239,4.97583,2.90356,0.0104636,126.63,0.467831
2025-04-01,145.804,18.3763,4.98226,2.91106,0.0149574,127.428,0.467831
2025-04-02,147.067,18.5725,4.99089,2.92168,0.0215444,128.494,0.467831
2025-04-03,127.866,17.3952,4.85098,2.85619,0.0215076,110.47,0.467831
2025-04-04,120.388,15.8548,4.79072,2.76348,-0.0430199,104.533,0.467831
2025-04-07,120.975,15.5703,4.79558,2.74537,-0.0634027,105.404,0.467831
2025-04-08,117.882,15.3545,4.76969,2.73141,-0.0652477,102.528,0.467831
2025-04-09,130.68,16.3552,4.87275,2.79455,-0.0503242,114.324,0.467831
2025-04-10,120.845,15.6096,4.79451,2.74788,-0.0603853,105.236,0.467831
2025-04-11,122.735,16.0216,4.81002,2.77394,-0.0415867,106.713,0.467831
2025-04-14,124.147,16.5024,4.82146,2.8035,-0.0173734,107.644,0.467831
2025-04-15,121.541,16.7869,4.80025,2.8206,0.00964312,104.754,0.467831
2025-04-16,123.371,16.6005,4.8152,2.80943,-0.00851369,106.771,0.467831
2025-04-17,127,16.9439,4.84419,2.82991,-0.00160365,110.057,0.467831
2025-04-21,126.006,16.2473,4.83633,2.78793,-0.0399071,109.759,0.467831
2025-04-22,130.65,16.6594,4.87252,2.81297,-0.0317919,113.99,0.467831
2025-04-23,133.543,16.7771,4.89443,2.82001,-0.0349979,116.766,0.467831
2025-04-24,136.765,17.2578,4.91827,2.84827,-0.0178983,119.507,0.467831
2025-04-25,136.666,17.1205,4.91754,2.84028,-0.0255489,119.545,0.467831
2025-04-28,136.805,16.9537,4.91856,2.83049,-0.0358151,119.851,0.467831
2025-04-29,137.531,16.7182,4.92385,2.8165,-0.0522771,120.813,0.467831
2025-04-30,136.636,16.2277,4.91732,2.78672,-0.0790048,120.408,0.467831
2025-05-01,136.944,16.2179,4.91957,2.78611,-0.0806638,120.726,0.467831
2025-05-02,140.753,16.3552,4.947,2.79455,-0.0850629,124.397,0.467831
2025-05-05,142.523,15.8843,4.9595,2.76533,-0.120126,126.638,0.467831
2025-05-06,143.736,15.5115,4.96798,2.74158,-0.147842,128.224,0.467831
2025-05-07,143.875,16.5711,4.96894,2.80766,-0.0822163,127.304,0.467831
2025-05-08,149.125,17.042,5.00479,2.83568,-0.0709613,132.083,0.467831
2025-05-09,150.04,17.21,5.0109,2.84549,-0.0640129,132.83,0.467831
2025-05-12,157.249,17.44,5.05783,2.85877,-0.0726922,139.809,0.467831
2025-05-13,161.923,18,5.08712,2.89037,-0.0547884,143.923,0.467831
2025-05-14,162.599,18.16,5.09129,2.89922,-0.0478883,144.439,0.467831
2025-05-15,164.359,17.97,5.10205,2.8887,-0.0634428,146.389,0.467831
2025-05-16,163.195,17.95,5.09495,2.88759,-0.061233,145.245,0.467831
2025-05-19,161.356,18,5.08361,2.89037,-0.053148,143.356,0.467831
2025-05-20,160.62,18.14,5.07904,2.89812,-0.043262,142.48,0.467831
2025-05-21,156.7,17.76,5.05433,2.87695,-0.0528734,138.94,0.467831
2025-05-22,158.89,17.88,5.06821,2.88368,-0.0526324,141.01,0.467831
2025-05-23,159.11,17.85,5.0696,2.882,-0.0549589,141.26,0.467831
2025-05-27,162.33,17.95,5.08963,2.88759,-0.0587456,144.38,0.467831
2025-05-28,158.61,17.76,5.06645,2.87695,-0.0585413,140.85,0.467831
2025-05-29,159.92,17.68,5.07467,2.87243,-0.066904,142.24,0.467831
2025-05-30,160.74,17.48,5.07979,2.86106,-0.0806734,143.26,0.467831
2025-06-02,158.75,17.48,5.06733,2.86106,-0.0748454,141.27,0.467831
2025-06-03,161.97,17.9,5.08741,2.8848,-0.0604964,144.07,0.467831
2025-06-04,156.95,17.53,5.05593,2.86391,-0.0666542,139.42,0.467831
2025-06-05,158.21,17.67,5.06392,2.87187,-0.0624404,140.54,0.467831
2025-06-06,160.12,17.93,5.07592,2.88648,-0.0534475,142.19,0.467831
2025-06-09,160.27,17.71,5.07686,2.87413,-0.0662315,142.56,0.467831
2025-06-10,162.64,17.99,5.09154,2.88982,-0.0574122,144.65,0.467831
2025-06-11,164.66,18.25,5.10388,2.90417,-0.0488379,146.41,0.467831
2025-06-12,165.07,18.45,5.10637,2.91506,-0.039102,146.62,0.467831
2025-06-13,166.15,18.32,5.11289,2.90799,-0.049224,147.83,0.467831
